title, description, features, location, date_listed,price
"Sarai Gowardhan ,Chetganj,varansi,UP",Flat I am selling,2 Bds - 1 Ba - 650 ft2,"Chetganj, Varanasi, Uttar Pradesh, India",2022-07-24T15:55:48+0000,"₹ 25,00,000"
Roof house for sales in city,சேலம் மாநகராட்சி பகுதி இயற்கை சூழலில் குறைந்த விலையில் இரண்டு மின் இணைப்பு மேட்டூர் குடி நீர் இணைப்பு கான்கிரிட் சாலை வசதி ஒரு சதுர அடி ₹ 2200 மட்டுமே,2 Bds - 2 Ba - 2200 ft2,"Thathampatty, Salem, Tamil Nadu, India",2022-07-24T15:55:38+0000,"₹ 48,40,000"
Sale of House,"I want to sell my house at Kursoo Rajbagh, which has all facilities like car parking, water, electricity, two sided road for entrance, anyone interested can whatsapp me or call me.",4 Bds - 3 Ba - 1800 ft2,"Rajbagh Extention, Srinagar, Jammu & Kashmir, India",2022-07-24T15:55:37+0000,"₹ 2,50,00,000"
3BHK for Urgent Sale,"Address: BEML Layout, Bangalore A freehold residential unit with a super built-up area of 1753 sq. ft. in BEML Layout, Kundalahalli, Bangalore East, along with 767.46 square feet undivided share of land.(Going rate of land/Sqft is Rs15000). The apartment is A-Khata registered with a Cauvery water connection. It is located on the 2nd floor of the three-floor complex, which comprises a big hall, 01 dining hall, 03 huge bedrooms with attached bathrooms, a modular kitchen and a work area. Hall and bedrooms have independent balconies that are fully ventilated, full of natural light, with a relaxing view to enjoy. Facing this property is Brigade Tech Gardens. Everything within the apartment is of high quality. The property is 100 m from the main road, and 5 km from ITPL Tech Park, which provides access to transportation, and proper security. The property is at a favourable locality, as it is close to AECS Layout and Hoodi Circle, which makes it convenient for the residents to travel. Major hospitals such as Apollo, Brookfield, Colombia Asia, and Manipal are 4-5 km from the property, making it the most convenient place for the residents. Close to temple(s) and parks. Key highlights (Facilities/features): A) Vaastu compliant B) Lift(s) C) Maintenance staff D) Dedicated Car and Bike parking E) Support Staff F) Community Center /Gym G) Waste disposal H) Rainwater harvesting I) Full power backup J) 24*7 Water supply Contact for more information.",3 Bds - 3 Ba - 1753 ft2,"BEML Layout, Bengaluru, Karnataka, India",2022-07-24T15:55:23+0000,"₹ 95,99,999"
"1bhk flate 20,50,000",1bhk flat umnag villa road tuch tatklik sell sama,1 Bds - 1 Ba - 577 ft2,"Jay Yogeshwar Society, Vadodara, Gujarat, India",2022-07-24T15:55:21+0000,"₹ 20,51,000"
2.5 cent plot and old house for immediate sale,"Its a 800sq ft old model single floor house. It is 1km to Vanchiyoor court, 2kms to secretariat, 2km to airport and MOT, 300m to Central Mall, 3km to Kerala University and 6km to Lulu mall. Serious buyers only contact. Brokers please excuse.",2 Bds - 1 Ba - 1000 ft2,"Pattoor, Thiruvananthapuram, Kerala, India",2022-07-24T15:55:20+0000,"₹ 70,00,000"
On Ayodhya Highway Biggest township at affordable price Dream House,Biggest Township at affordable price,2 Bds - 2 Ba - 1300 ft2,"Faizabad Road, Lucknow, Uttar Pradesh, India",2022-07-24T15:54:53+0000,"₹ 46,00,000"
I want to sale my property 30*40,i want sel my property in kanakapura 16L,2 Bds - 2 Ba - 30 ft2,"Kanakapura Main Road, Bengaluru, Karnataka, India",2022-07-24T15:54:36+0000,"₹ 25,00,000"
2 BHK Fully Furnished already rented out,"Fully furnished 2 BHK property already rented earning rent of Rs. 20 thousand/- per month. Selling because we're moving out of country. In case interested, then please contact. Location advantages: 1. Walking distance from NOIDA Sector 51 Metro Station (connecting station for Blue Line & Aqua line). Aqua line starts here. 2. In the centre of NOIDA. Greater NOIDA, NOIDA Extension all are equidistant from here. 3. On the main road 4. Facing park, which is a reserved green land from NOIDA.",2 Bds - 2 Ba - 3000 ft2,"Sector 73, Noida, Uttar Pradesh, India",2022-07-24T15:54:12+0000,"₹ 40,00,000"
Urgent hai jisko Lena hai vahi sms kare,180 gaj me hai double storey bana hua hai patrol pomp ke pass sahastradhara road,2 Bds - 2 Ba - 180 ft2,"Sahastradhara Road, Dehradun, Uttaranchal, India",2022-07-24T15:53:31+0000,"₹ 95,55,000"
